time,open,high,low,close,tick_volume,spread,real_volume
1724396340,1.1125099999999999,1.1125099999999999,1.11249,1.11249,21,0,0
1724396400,1.11249,1.11261,1.11249,1.11261,30,0,0
1724396460,1.11261,1.11266,1.11259,1.11264,23,0,0
1724396520,1.11264,1.11266,1.11263,1.11265,38,0,0
1724396580,1.11265,1.11271,1.11265,1.1127,14,0,0
1724396640,1.1127,1.11275,1.1127,1.11275,39,0,0
1724396700,1.11275,1.11275,1.1127,1.1127,31,0,0
1724396760,1.11271,1.11276,1.11271,1.11276,36,0,0
1724396820,1.11275,1.11277,1.11273,1.11275,41,0,0
1724396880,1.11275,1.11282,1.11274,1.11281,15,0,0
1724396940,1.11281,1.11281,1.11272,1.11273,25,0,0
1724397000,1.11272,1.11275,1.1127,1.11271,39,0,0
1724397060,1.1127,1.11273,1.1126800000000001,1.1127,37,0,0
1724397120,1.1127,1.11275,1.1127,1.11275,40,0,0
1724397180,1.11275,1.11276,1.11273,1.11274,32,0,0
1724397240,1.11274,1.11274,1.1126800000000001,1.11269,16,0,0
1724397300,1.11269,1.1127,1.11269,1.1127,4,0,0
1724397360,1.1127,1.11273,1.11269,1.11269,19,0,0
1724397420,1.11269,1.11271,1.11266,1.1127,6,0,0
1724397480,1.1127,1.11285,1.1127,1.11285,16,0,0
1724397540,1.11285,1.11285,1.11283,1.11284,6,0,0
1724397600,1.11284,1.11285,1.11283,1.11284,13,0,0
1724397660,1.11285,1.11285,1.11274,1.11283,45,0,0
1724397720,1.11284,1.11284,1.11281,1.11282,24,0,0
1724397780,1.11282,1.11282,1.11264,1.11269,64,0,0
1724397840,1.11269,1.11271,1.11264,1.11264,15,0,0
1724397900,1.11264,1.11266,1.11263,1.11264,33,0,0
1724397960,1.11264,1.11265,1.11262,1.11265,19,0,0
1724398020,1.11265,1.11266,1.11263,1.11263,25,0,0
1724398080,1.11263,1.11264,1.11253,1.11254,27,0,0
1724398140,1.11254,1.11255,1.11254,1.11254,29,0,0
1724398200,1.11254,1.11255,1.11252,1.11253,80,0,0
1724398260,1.11254,1.11254,1.11247,1.11249,32,0,0
1724398320,1.11249,1.1125,1.11247,1.1125,40,0,0
1724398380,1.1125,1.11254,1.11248,1.11248,19,0,0
1724398440,1.11247,1.1125099999999999,1.11247,1.1125,22,0,0
1724398500,1.1125,1.11252,1.11248,1.1125,14,0,0
1724398560,1.1125099999999999,1.11258,1.1125099999999999,1.11256,23,0,0
1724398620,1.11255,1.11256,1.11254,1.11254,24,0,0
1724398680,1.11254,1.11259,1.11254,1.11258,11,0,0
1724398740,1.11258,1.11261,1.11257,1.1126,22,0,0
1724398800,1.1126,1.11265,1.11259,1.11265,19,0,0
1724398860,1.11265,1.11265,1.11263,1.11264,9,0,0
1724398920,1.11264,1.11265,1.11263,1.11264,15,0,0
1724398980,1.11264,1.1126800000000001,1.11264,1.11266,14,0,0
1724399040,1.11266,1.11266,1.11264,1.11264,5,0,0
1724399100,1.11264,1.11271,1.11261,1.11271,16,0,0
1724399160,1.11271,1.11271,1.1126800000000001,1.1126800000000001,4,0,0
1724399220,1.1126800000000001,1.1127,1.1126800000000001,1.11269,10,0,0
1724399280,1.11269,1.11269,1.1126800000000001,1.11269,9,0,0
1724399340,1.11269,1.11269,1.1126800000000001,1.11269,3,0,0
1724399400,1.11269,1.11269,1.1126800000000001,1.1126800000000001,4,0,0
1724399460,1.1126800000000001,1.11271,1.11265,1.1127,13,0,0
1724399520,1.1127,1.1128,1.1127,1.11279,17,0,0
1724399580,1.11279,1.11279,1.11275,1.11275,18,0,0
1724399640,1.11275,1.11275,1.11274,1.11274,2,0,0
