time,open,high,low,close,tick_volume,spread,real_volume,ema_short,ema_long,macd,signal,macd_cross,macd_cross_prev,macd_event
1724377260,1.1116,1.11162,1.11157,1.11157,14,0,0,1.1115526845737873,1.111478186496925,7.449807686232823e-05,7.711262001354253e-05,False,True,True
1724378580,1.11158,1.1116,1.11158,1.11158,11,0,0,1.1115064350521717,1.1115015951208234,4.839931348366022e-06,2.0006202532793714e-06,True,False,True
1724378820,1.11148,1.11149,1.11148,1.11149,8,0,0,1.1115067825215803,1.1115038112115394,2.9713100409001214e-06,4.247349616708641e-06,False,True,True
1724378880,1.11149,1.11154,1.11149,1.11153,5,0,0,1.1115103544413372,1.1115057511217958,4.603319541329753e-06,4.3185436016328635e-06,True,False,True
1724379960,1.11167,1.11167,1.11167,1.11167,1,0,0,1.1116612348849741,1.1116218960149578,3.9338870016392136e-05,4.042045979030397e-05,False,True,True
1724380860,1.11162,1.11168,1.11162,1.11167,32,0,0,1.111619088202444,1.1116122525476773,6.835654766668142e-06,4.910924981862278e-06,True,False,True
1724381760,1.11174,1.11176,1.11165,1.11165,19,0,0,1.1117161745406345,1.1116882333327887,2.7941207845882943e-05,3.144215231907857e-05,False,True,True
1724382840,1.11142,1.11149,1.11142,1.11148,30,0,0,1.11146222309798,1.1115194486688993,-5.72255709192504e-05,-5.809380657147356e-05,True,False,True
1724384160,1.11195,1.11197,1.11191,1.11192,45,0,0,1.111886335321901,1.1117984014119733,8.793390992778427e-05,8.962107053705852e-05,False,True,True
1724385180,1.11198,1.1120700000000001,1.11197,1.11202,63,0,0,1.1119429332545223,1.111895765149192,4.716810533023086e-05,4.5931012761079646e-05,True,False,True
1724385360,1.11197,1.11199,1.11185,1.11186,49,0,0,1.1119622140017158,1.1119175791523714,4.463484934436046e-05,4.9934758944626735e-05,False,True,True
1724386020,1.11209,1.11225,1.1120700000000001,1.11224,59,0,0,1.1120069025443915,1.111961213769808,4.5688774583441116e-05,2.9667612511056495e-05,True,False,True
1724386860,1.1122,1.11221,1.11214,1.1122,41,0,0,1.1121955543678828,1.112126271726272,6.928264161065734e-05,7.275222259017602e-05,False,True,True
1724386980,1.11229,1.11238,1.11228,1.11237,49,0,0,1.1122346868551112,1.112155555320878,7.913153423322328e-05,7.385728427768856e-05,True,False,True
1724387460,1.11241,1.11241,1.1124,1.1124,16,0,0,1.1123694035137202,1.1122780821898228,9.132132389733094e-05,9.384974521103718e-05,False,True,True
1724388060,1.1124,1.11254,1.1124,1.1125099999999999,23,0,0,1.1123399548001724,1.1122944495064278,4.550529374469647e-05,4.099061599909337e-05,True,False,True
1724389140,1.11274,1.11277,1.11271,1.11276,30,0,0,1.1127107914398062,1.1126022924024188,0.00010849903738741062,0.00011055126707495253,False,True,True
1724389200,1.11276,1.11286,1.11276,1.11286,19,0,0,1.1127337466029128,1.1126213818540915,0.00011236474882125869,0.00011091396342421377,True,False,True
1724389260,1.11286,1.11288,1.1128,1.1128,29,0,0,1.112743939433234,1.1126346128278626,0.00010932660537132932,0.00011059649181363689,False,True,True
1724391420,1.1124,1.11248,1.1124,1.11244,38,0,0,1.1124288720294686,1.112485637165649,-5.6765136180469966e-05,-5.929629757535204e-05,True,False,True
1724392080,1.11238,1.11244,1.11238,1.1124,47,0,0,1.1124609347294505,1.112483140546987,-2.2205817536535832e-05,-1.9274902396192745e-05,False,True,True
1724392620,1.11241,1.11248,1.11241,1.11245,51,0,0,1.1124168943041561,1.1124416242766149,-2.472997245872577e-05,-2.8702481115147204e-05,True,False,True
1724394300,1.11264,1.11267,1.11259,1.11259,15,0,0,1.112629125553502,1.1125866364217367,4.248913176518876e-05,4.613622666887e-05,False,True,True
1724395980,1.11238,1.11247,1.11238,1.11247,19,0,0,1.1124133794498918,1.1124563661919178,-4.298674202596331e-05,-4.665907139028867e-05,True,False,True
1724397240,1.11274,1.11274,1.1126800000000001,1.11269,16,0,0,1.112702129155785,1.1126418876044932,6.024155129180642e-05,6.147819324111548e-05,False,True,True
1724397540,1.11285,1.11285,1.11283,1.11284,6,0,0,1.1127410565851452,1.1126805200924106,6.05364927346308e-05,5.682411100541682e-05,True,False,True
1724397780,1.11282,1.11282,1.11264,1.11269,64,0,0,1.1127624974427757,1.1127096595879842,5.2837854791487615e-05,5.90335987805054e-05,False,True,True
1724398740,1.11258,1.11261,1.11257,1.1126,22,0,0,1.112564713357587,1.1125972909584756,-3.2577600888483715e-05,-3.385012268485017e-05,True,False,True
1724400000,1.11278,1.11279,1.1126800000000001,1.1126800000000001,23,0,0,1.1127341171078378,1.1127010571768687,3.305993096902604e-05,3.315729137095472e-05,False,True,True
1724401320,1.11269,1.11271,1.11264,1.1127,48,0,0,1.1126716575603635,1.1126826596169346,-1.1002056571118857e-05,-1.238633734505903e-05,True,False,True
1724401980,1.11275,1.11276,1.11272,1.11273,54,0,0,1.112742618308531,1.1127268245296231,1.5793778907813305e-05,1.5919032494064274e-05,False,True,True
1724402940,1.1126800000000001,1.11273,1.1126800000000001,1.11271,27,0,0,1.112621255922228,1.112645730085074,-2.4474162846122027e-05,-3.28034080303448e-05,True,False,True
1724403420,1.11262,1.11269,1.11255,1.11257,25,0,0,1.1126335493898647,1.1126480647119914,-1.451532212670692e-05,-1.0933461185706949e-05,False,True,True
